File Size (KB),Write Time (s)
73.30859375,0.20124702700013586
75.720703125,0.20439904149861832
70.154296875,0.1861355060009373
70.4658203125,0.19511286362467217
79.431640625,0.25239499737654114
77.392578125,0.24561861925030826
102.900390625,0.29020017400034703
109.03515625,0.30948172500029614
109.9521484375,0.3170288898745639
102.1884765625,0.2938336433744553
102.244140625,0.30684656899939
105.025390625,0.3209982901244075
104.671875,0.2993746123738674
105.12890625,0.31444098262545594
104.671875,0.2664043893764756
100.234375,0.2647613025001192
101.1865234375,0.28728874537591764
109.1083984375,0.32819702337656054
102.193359375,0.30523259187430085
102.4130859375,0.3275696777491248
102.638671875,0.29974719687561446
106.666015625,0.31929262099947664
271.6435546875,0.8099808947499696
174.8916015625,0.5376782216244465
171.1435546875,0.49166440550106927
172.92578125,0.5448485230008373
